0,1,2,3,4,5,6,7,8,9
82.4,88.6,90.2,93.6,96.0,97.4,98.8,99.0,99.2,99.2
36.6,54.0,68.6,81.2,88.0,94.4,96.4,98.6,98.8,99.8
93.0,96.0,98.4,98.8,99.4,99.8,100.0,100.0,100.0,100.0
11.4,30.2,33.6,43.4,55.4,61.8,75.8,82.4,89.0,94.2
83.4,88.6,91.4,93.0,96.0,97.8,99.0,99.2,99.6,100.0
35.6,50.0,63.2,74.6,85.2,91.8,95.0,97.6,98.2,99.4
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
95.6,97.6,97.6,98.8,99.2,99.2,99.8,99.8,100.0,100.0
94.2,96.4,97.8,98.8,99.4,99.2,99.0,99.8,100.0,100.0
38.4,56.6,78.2,85.0,90.4,93.8,96.2,97.0,98.0,99.0
95.4,97.0,98.8,99.0,99.8,100.0,100.0,100.0,100.0,100.0
21.0,37.2,45.0,54.4,68.8,79.8,90.2,93.0,95.6,97.0
19.0,28.4,43.6,55.8,64.4,72.0,82.6,85.4,90.8,93.8
58.8,77.2,87.2,91.4,95.6,97.8,98.8,99.6,100.0,100.0
0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.4
1.0,1.4,2.0,1.0,0.0,1.0,1.6,2.6,4.4,2.4
4.4,5.2,10.8,5.2,10.4,7.8,9.8,7.2,9.8,12.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.4,78.8,86.4,94.2,96.6,99.0,99.6,100.0,100.0,100.0
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
63.0,77.0,85.0,91.2,95.0,97.4,98.6,98.6,99.6,99.6
0.0,0.6,0.6,0.2,2.2,4.4,1.8,2.2,4.4,0.4
18.8,28.6,37.0,40.0,45.8,56.4,61.8,74.2,82.6,88.6
94.6,98.0,97.8,98.4,98.8,99.2,99.8,99.4,99.2,99.6
15.6,32.4,37.2,44.8,56.2,68.8,76.2,83.0,90.4,94.4
16.6,22.0,34.2,44.6,55.6,64.2,78.8,86.2,91.0,94.2
5.4,10.6,9.8,13.8,17.6,19.6,24.2,22.0,29.2,27.0
26.6,46.6,69.6,80.8,89.0,93.4,95.0,96.8,98.2,98.4
3.6,4.8,1.2,0.2,0.4,1.6,2.0,1.8,2.8,2.6
84.0,90.0,93.6,94.2,95.4,96.0,97.8,98.2,99.0,99.6
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.4,59.0,76.0,87.0,92.0,96.0,97.2,98.6,99.0,99.8
0.8,1.0,0.4,3.0,1.0,2.4,0.8,1.2,1.2,1.0
95.8,98.2,99.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0
99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
37.8,55.0,72.6,82.0,89.2,92.2,95.8,96.8,98.6,99.6
0.4,0.2,1.6,0.0,0.6,1.0,1.4,1.2,2.0,2.4
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
33.4,57.2,71.4,83.2,90.4,94.2,96.6,97.6,98.6,99.4
39.6,58.2,70.8,79.0,87.0,93.0,96.6,98.6,99.0,99.4
95.2,98.4,98.2,99.4,99.4,99.6,100.0,100.0,100.0,100.0
98.8,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
81.6,84.6,88.6,94.4,96.0,97.4,98.2,98.6,99.2,99.8
61.2,78.0,85.0,88.2,91.8,95.0,97.2,99.2,99.0,99.0
82.0,88.4,91.6,94.0,95.6,97.0,97.4,97.4,98.8,99.0
99.2,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
94.6,97.0,98.6,99.2,99.4,100.0,100.0,100.0,100.0,100.0
42.8,61.8,73.2,83.8,89.2,94.6,97.6,98.6,99.0,99.4
1.8,2.2,0.8,2.0,0.6,1.6,0.8,0.6,1.0,0.0
0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
35.2,54.2,64.0,79.4,87.2,93.4,96.2,97.8,98.6,99.0
0.0,0.0,0.2,0.4,0.0,0.0,1.8,0.2,0.6,0.0
15.2,29.6,43.6,62.0,71.6,80.2,87.2,91.6,95.6,96.2
0.8,3.2,0.6,0.4,3.0,2.8,2.4,2.0,1.6,0.2
84.4,88.0,92.8,94.0,94.2,97.2,97.8,97.4,99.0,99.0
62.2,78.0,85.6,89.4,93.8,97.0,98.2,99.0,99.4,99.4
86.2,89.2,90.6,91.6,94.0,95.0,96.6,97.2,98.8,98.8
0.2,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0
0.4,0.8,0.4,0.4,2.2,1.8,1.6,0.2,1.8,3.4
23.4,34.2,41.6,48.8,55.4,60.6,70.2,79.8,88.8,94.4
8.0,10.2,12.2,12.4,12.0,12.6,19.8,21.2,22.2,24.8
13.0,24.2,29.8,40.8,51.0,67.2,71.4,79.2,85.8,92.6
95.2,97.4,99.2,99.4,99.6,99.6,99.8,99.4,99.8,100.0
38.8,54.8,70.0,80.8,89.8,92.6,95.2,97.0,98.6,99.4
13.6,23.6,30.6,43.2,53.4,67.4,76.0,82.2,87.4,91.2
15.2,30.6,38.0,52.0,63.2,70.0,76.2,85.4,91.6,94.0
99.0,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
98.4,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.2,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.8
98.8,99.4,99.8,99.8,99.8,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
14.2,20.8,35.0,38.0,47.4,55.0,63.6,69.8,75.4,85.0
99.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.4,24.0,33.4,42.2,52.6,56.0,65.6,76.4,84.8,91.0
92.2,96.8,98.2,99.0,99.4,99.8,100.0,100.0,100.0,100.0
63.2,76.0,87.2,89.8,92.6,96.2,98.4,99.4,99.6,100.0
32.6,48.6,65.2,73.0,83.4,91.4,94.8,96.4,97.8,98.6
62.4,75.8,83.8,89.4,94.0,96.4,96.8,98.0,98.6,99.0
33.8,51.0,71.2,83.0,88.6,92.8,95.2,98.0,98.4,98.8
60.4,78.0,87.0,89.0,94.0,96.4,98.4,99.2,99.6,100.0
95.0,97.6,98.0,98.6,99.6,99.6,99.8,99.8,99.6,99.8
0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,1.6,0.2,0.0,0.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
39.6,55.8,68.4,75.2,85.6,90.4,94.2,96.8,98.6,99.4
6.2,9.4,14.8,15.6,17.8,17.0,20.4,21.8,27.2,30.8
99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
22.2,28.2,31.4,40.8,47.6,58.2,66.6,78.4,85.4,90.8
63.2,77.2,84.0,87.8,90.8,92.8,94.2,97.6,98.6,99.4
38.0,61.2,69.8,82.0,88.8,94.0,96.2,98.8,98.8,99.2
99.0,99.6,99.6,99.6,100.0,100.0,100.0,100.0,100.0,100.0
20.0,31.4,43.8,49.6,59.4,68.0,79.2,84.6,89.0,91.2
5.8,5.0,5.8,9.0,9.8,12.8,8.4,12.8,10.4,10.4
22.4,30.6,37.4,43.4,58.8,70.8,77.6,85.4,89.8,93.2
82.8,88.0,90.8,93.0,95.2,97.2,98.2,99.2,99.8,100.0
12.4,25.6,36.0,44.4,56.0,64.2,75.4,83.2,89.4,94.6
0.4,0.0,0.0,0.0,0.4,0.4,0.0,0.2,0.0,0.4
